competency_id,competency_name,domain_id,domain_name,content_status,protocol_stable_id,protocol_version,protocol_path,protocol_sha256,protocol_family,risk_class,runtime_projection,sources_complete,safety_review_status,scoring_policy,shadow_test_status,activation_status,release_gate_status,ui_test_status,parent_mapping_lever_ids,recommendation_target_lever_ids,blocking_issue
01.01,Conceptions of flourishing,01,"Meaning, Worldview, and Purpose",draft,PRACTICE-COMP-0101-CONCEPTIONS-OF-FLOURISHING-01,0.2.0,data/practices/protocols/01/PRACTICE-COMP-0101-CONCEPTIONS-OF-FLOURISHING-01.yaml,ba578a0f87314dd9fc4bb398d70abfdfe82f279059b3446e6d05302da03e2bf0,PF-KNOWLEDGE-APPLICATION,RISK-LOW,GG-PRACTICE-RUNTIME-PROJECTION-2.0,false,pending,SP-STRUCTURED-EVIDENCE-ELIGIBLE,accepted_and_activated,active,blocked,not_applicable,L01;L02;L36,L01;L02;L36,accessibility_review_status:pending;content_review_status:pending;last_reviewed:missing;originality_review_status:pending;research_gap:RG-M6A-001:open;research_review_status:internal_sources_only_external_review_required;safety_review_status:pending;sources:incomplete
01.02,A provisional worldview,01,"Meaning, Worldview, and Purpose",draft,PRACTICE-COMP-0102-A-PROVISIONAL-WORLDVIEW-01,0.2.0,data/practices/protocols/01/PRACTICE-COMP-0102-A-PROVISIONAL-WORLDVIEW-01.yaml,d0aa8f544a1bd67e3bbd2dfa7471af2be3f5f2de31edf35ca72d5a1acec20d7b,PF-KNOWLEDGE-APPLICATION,RISK-LOW,GG-PRACTICE-RUNTIME-PROJECTION-2.0,false,pending,SP-STRUCTURED-EVIDENCE-ELIGIBLE,accepted_and_activated,active,blocked,not_applicable,L01;L03;L11;L13,L01;L03;L11;L13,accessibility_review_status:pending;content_review_status:pending;last_reviewed:missing;originality_review_status:pending;research_gap:RG-M6A-001:open;research_review_status:internal_sources_only_external_review_required;safety_review_status:pending;sources:incomplete
01.03,Chosen and inherited values,01,"Meaning, Worldview, and Purpose",draft,PRACTICE-COMP-0103-CHOSEN-AND-INHERITED-VALUES-01,0.2.0,data/practices/protocols/01/PRACTICE-COMP-0103-CHOSEN-AND-INHERITED-VALUES-01.yaml,a96dba2a263de68f27af7dcd2b6cd80ed08d6c3197a4d62c4dae471e0fc29a95,PF-BEHAVIORAL-EXPERIMENT,RISK-LOW,GG-PRACTICE-RUNTIME-PROJECTION-2.0,false,pending,SP-STRUCTURED-EVIDENCE-ELIGIBLE,accepted_and_activated,active,blocked,not_applicable,L02;L05;L31,L02;L05;L31,accessibility_review_status:pending;content_review_status:pending;last_reviewed:missing;originality_review_status:pending;research_gap:RG-M6A-001:open;research_review_status:internal_sources_only_external_review_required;safety_review_status:pending;sources:incomplete
01.04,A hierarchy of goods,01,"Meaning, Worldview, and Purpose",draft,PRACTICE-COMP-0104-A-HIERARCHY-OF-GOODS-01,0.2.0,data/practices/protocols/01/PRACTICE-COMP-0104-A-HIERARCHY-OF-GOODS-01.yaml,375be6d10f952de035e54f60e8a2ab036827b7cc4604d4b38857e9b3b4160073,PF-KNOWLEDGE-APPLICATION,RISK-LOW,GG-PRACTICE-RUNTIME-PROJECTION-2.0,false,pending,SP-STRUCTURED-EVIDENCE-ELIGIBLE,accepted_and_activated,active,blocked,not_applicable,L02;L14;L36,L02;L14;L36,accessibility_review_status:pending;content_review_status:pending;last_reviewed:missing;originality_review_status:pending;research_gap:RG-M6A-001:open;research_review_status:internal_sources_only_external_review_required;safety_review_status:pending;sources:incomplete
01.05,Purpose and calling,01,"Meaning, Worldview, and Purpose",draft,PRACTICE-COMP-0105-PURPOSE-AND-CALLING-01,0.2.0,data/practices/protocols/01/PRACTICE-COMP-0105-PURPOSE-AND-CALLING-01.yaml,177916aca40f238d2c9114bf805e1098ef1baaa875440d21766a82774209dd05,PF-COMMUNITY-CONTRIBUTION,RISK-LOW,GG-PRACTICE-RUNTIME-PROJECTION-2.0,false,pending,SP-STRUCTURED-EVIDENCE-ELIGIBLE,accepted_and_activated,active,blocked,not_applicable,L01;L32;L36,L01;L32;L36,accessibility_review_status:pending;content_review_status:pending;last_reviewed:missing;originality_review_status:pending;research_gap:RG-M6A-001:open;research_review_status:internal_sources_only_external_review_required;safety_review_status:pending;sources:incomplete
01.06,Meaning versus status,01,"Meaning, Worldview, and Purpose",draft,PRACTICE-COMP-0106-MEANING-VERSUS-STATUS-01,0.2.0,data/practices/protocols/01/PRACTICE-COMP-0106-MEANING-VERSUS-STATUS-01.yaml,8ea6722a16cdbd88b88c3ab091474fc740d4b2209bcf7b64841db29cf9375a9c,PF-BEHAVIORAL-EXPERIMENT,RISK-LOW,GG-PRACTICE-RUNTIME-PROJECTION-2.0,false,pending,SP-STRUCTURED-EVIDENCE-ELIGIBLE,accepted_and_activated,active,blocked,not_applicable,L01;L05;L09;L36,L01;L05;L09;L36,accessibility_review_status:pending;content_review_status:pending;last_reviewed:missing;originality_review_status:pending;research_gap:RG-M6A-001:open;research_review_status:internal_sources_only_external_review_required;safety_review_status:pending;sources:incomplete
01.07,Commitment under uncertainty,01,"Meaning, Worldview, and Purpose",draft,PRACTICE-COMP-0107-COMMITMENT-UNDER-UNCERTAINTY-01,0.2.0,data/practices/protocols/01/PRACTICE-COMP-0107-COMMITMENT-UNDER-UNCERTAINTY-01.yaml,784ca5462e86ecd6360dfdc7aca689e63a7f9deb6e30e73d0788b34e2138a881,PF-BEHAVIORAL-EXPERIMENT,RISK-LOW,GG-PRACTICE-RUNTIME-PROJECTION-2.0,false,pending,SP-STRUCTURED-EVIDENCE-ELIGIBLE,accepted_and_activated,active,blocked,not_applicable,L10;L11;L14,L10;L11;L14,accessibility_review_status:pending;content_review_status:pending;last_reviewed:missing;originality_review_status:pending;research_gap:RG-M6A-001:open;research_review_status:internal_sources_only_external_review_required;safety_review_status:pending;sources:incomplete
01.08,Existential responsibility,01,"Meaning, Worldview, and Purpose",draft,PRACTICE-COMP-0108-EXISTENTIAL-RESPONSIBILITY-01,0.2.0,data/practices/protocols/01/PRACTICE-COMP-0108-EXISTENTIAL-RESPONSIBILITY-01.yaml,cdff55e01ceec261fef9a9a309a3ba04b16efa234579d5f52a1f61fe1fdfc557,PF-BEHAVIORAL-EXPERIMENT,RISK-LOW,GG-PRACTICE-RUNTIME-PROJECTION-2.0,false,pending,SP-STRUCTURED-EVIDENCE-ELIGIBLE,accepted_and_activated,active,blocked,not_applicable,L01;L05;L10;L11,L01;L05;L10;L11,accessibility_review_status:pending;content_review_status:pending;last_reviewed:missing;originality_review_status:pending;research_gap:RG-M6A-001:open;research_review_status:internal_sources_only_external_review_required;safety_review_status:pending;sources:incomplete
01.09,Life review and philosophical revision,01,"Meaning, Worldview, and Purpose",draft,PRACTICE-COMP-0109-LIFE-REVIEW-AND-PHILOSOPHICAL-REVISION-01,0.2.0,data/practices/protocols/01/PRACTICE-COMP-0109-LIFE-REVIEW-AND-PHILOSOPHICAL-REVISION-01.yaml,f1f59a8026b10ccc5b92956a8f7f268778ce7f26e14525e4b2b6cac9181107c4,PF-LONGITUDINAL-REVIEW,RISK-LOW,GG-PRACTICE-RUNTIME-PROJECTION-2.0,false,pending,SP-STRUCTURED-EVIDENCE-ELIGIBLE,accepted_and_activated,active,blocked,not_applicable,L01;L05;L36,L01;L05;L36,accessibility_review_status:pending;content_review_status:pending;last_reviewed:missing;originality_review_status:pending;research_gap:RG-M6A-001:open;research_review_status:internal_sources_only_external_review_required;safety_review_status:pending;sources:incomplete
01.10,Meaning after disillusionment,01,"Meaning, Worldview, and Purpose",draft,PRACTICE-COMP-0110-MEANING-AFTER-DISILLUSIONMENT-01,0.2.0,data/practices/protocols/01/PRACTICE-COMP-0110-MEANING-AFTER-DISILLUSIONMENT-01.yaml,6a16d2ed22aca04f949ac127b0de0cc9d49d73e8312c95799e5e1ac20f0b0678,PF-CONTEMPLATIVE-MEANING,RISK-LOW,GG-PRACTICE-RUNTIME-PROJECTION-2.0,false,pending,SP-STRUCTURED-EVIDENCE-ELIGIBLE,accepted_and_activated,active,blocked,not_applicable,L01;L04;L11,L01;L04;L11,accessibility_review_status:pending;content_review_status:pending;last_reviewed:missing;originality_review_status:pending;research_gap:RG-M6A-001:open;research_review_status:internal_sources_only_external_review_required;safety_review_status:pending;sources:incomplete
