protocol_stable_id,risk_class,editorial_status,safety_review_status,required_reviewer_role,pre_review_scoring_ceiling,scoring_policy,score_active,sensitive_data_limit,foreseeable_misuse,exclusions,pause_conditions,stop_conditions,professional_referral_conditions,release_gate
PRACTICE-BOUNDARY-01,RISK-MODERATE,projected_legacy,pending_specialist_expansion_review,Relevant specialist or domain-qualified human reviewer before expansion release or score activation.,shadow_only,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,"Store no diagnoses, allegations, third-party secrets, or unnecessary sensitive narrative; prefer category-level signals.","Using a boundary label to justify threats, punishment, withdrawal of care, forced agreement, a silent test, or unsafe confrontation.","Abuse, coercive control, stalking, discrimination, unsafe dependency, likely retaliation, legal jeopardy, or material danger.","Pause when safety, power, dependency, retaliation, legal, employment, housing, or caregiving consequences are uncertain.","Stop if retaliation, coercive control, abuse, stalking, discrimination, unsafe dependency, or material danger is present or becomes likely.","Seek appropriate trauma-informed, organizational, legal, medical, or emergency support when the low-stakes safety boundary is not met.","Specialist safety review complete. | Misuse, exclusion, stop, and escalation paths tested in content and UI. | Scoring remains shadow-only until a separate activation decision."
PRACTICE-COMP-0101-CONCEPTIONS-OF-FLOURISHING-01,RISK-LOW,draft,pending,Trained content reviewer; specialist review when the actual topic introduces a moderate or high-risk context.,active_if_separately_approved,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,Collect only the minimum private context needed to run the practice; do not request identifying details about other people.,"Using the Conceptions of flourishing protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Conceptions of flourishing action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Explain the comparison aloud or with three symbols. Rest and receiving care may be the whole appropriate afternoon; no purchase, productivity target, or religious commitment is required.","Pause Conceptions of flourishing when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Conceptions of flourishing practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Content, accessibility, privacy, and safety review complete. | Evidence and scoring contracts independently approved before score activation."
PRACTICE-COMP-0102-A-PROVISIONAL-WORLDVIEW-01,RISK-LOW,draft,pending,Trained content reviewer; specialist review when the actual topic introduces a moderate or high-risk context.,active_if_separately_approved,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,Collect only the minimum private context needed to run the practice; do not request identifying details about other people.,"Using the A provisional worldview protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed A provisional worldview action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Keep this private, dictate it, or use fictional positions if disclosure is unsafe. No conversion, debate, trauma disclosure, or resolution of every philosophical question is needed.","Pause A provisional worldview when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the A provisional worldview practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Content, accessibility, privacy, and safety review complete. | Evidence and scoring contracts independently approved before score activation."
PRACTICE-COMP-0103-CHOSEN-AND-INHERITED-VALUES-01,RISK-LOW,draft,pending,Trained content reviewer; specialist review when the actual topic introduces a moderate or high-risk context.,active_if_separately_approved,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,Collect only the minimum private context needed to run the practice; do not request identifying details about other people.,"Using the Chosen and inherited values protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Chosen and inherited values action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Use broad labels such as family or school without naming anyone. Keep the exercise private where disagreeing could threaten safety, housing, employment, or belonging.","Pause Chosen and inherited values when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Chosen and inherited values practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Content, accessibility, privacy, and safety review complete. | Evidence and scoring contracts independently approved before score activation."
PRACTICE-COMP-0104-A-HIERARCHY-OF-GOODS-01,RISK-LOW,draft,pending,Trained content reviewer; specialist review when the actual topic introduces a moderate or high-risk context.,active_if_separately_approved,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,Collect only the minimum private context needed to run the practice; do not request identifying details about other people.,"Using the A hierarchy of goods protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed A hierarchy of goods action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Sort cards or speak the comparison instead of writing. A person receiving care can prioritize care and rest without justifying those needs as productivity.","Pause A hierarchy of goods when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the A hierarchy of goods practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Content, accessibility, privacy, and safety review complete. | Evidence and scoring contracts independently approved before score activation."
PRACTICE-COMP-0105-PURPOSE-AND-CALLING-01,RISK-LOW,draft,pending,Trained content reviewer; specialist review when the actual topic introduces a moderate or high-risk context.,active_if_separately_approved,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,Collect only the minimum private context needed to run the practice; do not request identifying details about other people.,"Using the Purpose and calling protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Purpose and calling action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Receiving care, maintaining a home, or offering attentive presence can be meaningful contributions. Use a fictional service plan if a real opportunity is unavailable; label it preparation.","Pause Purpose and calling when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Purpose and calling practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Content, accessibility, privacy, and safety review complete. | Evidence and scoring contracts independently approved before score activation."
PRACTICE-COMP-0106-MEANING-VERSUS-STATUS-01,RISK-LOW,draft,pending,Trained content reviewer; specialist review when the actual topic introduces a moderate or high-risk context.,active_if_separately_approved,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,Collect only the minimum private context needed to run the practice; do not request identifying details about other people.,"Using the Meaning versus status protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Meaning versus status action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Use existing materials, a library resource, or a simulated private comparison. Necessary public collaboration need not be hidden; this is a motive check, not enforced secrecy.","Pause Meaning versus status when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Meaning versus status practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Content, accessibility, privacy, and safety review complete. | Evidence and scoring contracts independently approved before score activation."
PRACTICE-COMP-0107-COMMITMENT-UNDER-UNCERTAINTY-01,RISK-LOW,draft,pending,Trained content reviewer; specialist review when the actual topic introduces a moderate or high-risk context.,active_if_separately_approved,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,Collect only the minimum private context needed to run the practice; do not request identifying details about other people.,"Using the Commitment under uncertainty protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Commitment under uncertainty action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Use the study-time example as a paper simulation when live experimentation is impractical. Simulation exercises decision structure but does not show real-world results.","Pause Commitment under uncertainty when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Commitment under uncertainty practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Content, accessibility, privacy, and safety review complete. | Evidence and scoring contracts independently approved before score activation."
PRACTICE-COMP-0108-EXISTENTIAL-RESPONSIBILITY-01,RISK-LOW,draft,pending,Trained content reviewer; specialist review when the actual topic introduces a moderate or high-risk context.,active_if_separately_approved,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,Collect only the minimum private context needed to run the practice; do not request identifying details about other people.,"Using the Existential responsibility protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Existential responsibility action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. A support person can help communicate or implement your choice. Choosing rest, declining an unsafe demand, or seeking assistance is an exercise of agency.","Pause Existential responsibility when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Existential responsibility practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Content, accessibility, privacy, and safety review complete. | Evidence and scoring contracts independently approved before score activation."
PRACTICE-COMP-0109-LIFE-REVIEW-AND-PHILOSOPHICAL-REVISION-01,RISK-LOW,draft,pending,Trained content reviewer; specialist review when the actual topic introduces a moderate or high-risk context.,active_if_separately_approved,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,Collect only the minimum private context needed to run the practice; do not request identifying details about other people.,"Using the Life review and philosophical revision protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Life review and philosophical revision action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Review aloud, with a trusted supporter, or using three calendar symbols. A week dominated by illness or caregiving can justify a smaller expectation rather than another task.","Pause Life review and philosophical revision when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Life review and philosophical revision practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Content, accessibility, privacy, and safety review complete. | Evidence and scoring contracts independently approved before score activation."
